Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,23-Jul-14,2532.4,2540,2596.3,2532.3,2580,2586.15,2574.1,1032929,26588.67,61631,432489,41.87
TCS,EQ,24-Jul-14,2586.15,2594.9,2602,2567,2591,2595.2,2584.1,740709,19140.67,43633,336563,45.44
TCS,EQ,25-Jul-14,2595.2,2594,2614.35,2567,2610,2605.75,2587.82,903457,23379.85,52802,574396,63.58
TCS,EQ,28-Jul-14,2605.75,2577.15,2599.65,2555,2584.4,2589.3,2579.61,657461,16959.94,45346,384720,58.52
TCS,EQ,30-Jul-14,2589.3,2584.8,2610,2572.6,2585,2595.05,2592.06,949626,24614.87,58885,682508,71.87
TCS,EQ,31-Jul-14,2595.05,2575.1,2598,2569.25,2582,2580.05,2579.59,1203605,31048.13,65616,950765,78.99
TCS,EQ,1-Aug-14,2580.05,2575,2587.95,2510,2516,2516.4,2546.61,1190941,30328.61,59210,785711,65.97
TCS,EQ,4-Aug-14,2516.4,2532,2541.9,2488,2527.5,2526.05,2517.98,914318,23022.34,49092,492198,53.83
TCS,EQ,5-Aug-14,2526.05,2544.9,2545,2490.1,2524,2523.7,2520.22,702328,17700.23,44849,366196,52.14
TCS,EQ,6-Aug-14,2523.7,2516.15,2534.85,2490.25,2512.55,2506.65,2510.8,918781,23068.77,46871,604757,65.82
TCS,EQ,7-Aug-14,2506.65,2490,2495,2459.05,2468.9,2469.8,2472.72,836328,20680.08,43519,441551,52.8
TCS,EQ,8-Aug-14,2469.8,2465,2507.7,2465,2479,2478.7,2484.9,732395,18199.29,37930,278109,37.97
TCS,EQ,11-Aug-14,2478.7,2490.9,2495.55,2455,2464.3,2468.4,2475.25,645448,15976.44,37616,349673,54.18
TCS,EQ,12-Aug-14,2468.4,2489.9,2489.9,2440.2,2469.65,2471.75,2459.71,492276,12108.57,30316,257233,52.25
TCS,EQ,13-Aug-14,2471.75,2470,2530,2470,2500,2500.05,2501.07,1384189,34619.57,69764,909274,65.69
TCS,EQ,14-Aug-14,2500.05,2514,2532,2490.05,2496,2499.75,2510.16,789028,19805.87,59273,540743,68.53
TCS,EQ,18-Aug-14,2499.75,2491.05,2505,2470,2481,2487.6,2485.67,686630,17067.32,73851,466989,68.01
TCS,EQ,19-Aug-14,2487.6,2500,2504.9,2435,2438,2438.5,2446.29,1617078,39558.44,98599,1254346,77.57
TCS,EQ,20-Aug-14,2438.5,2444.5,2455.05,2430.05,2438.85,2436.2,2439.66,1028379,25088.95,39277,755778,73.49
TCS,EQ,21-Aug-14,2436.2,2447,2460,2430,2432.5,2432.45,2440.14,1132725,27640.09,64360,777345,68.63
TCS,EQ,22-Aug-14,2432.45,2444,2468.2,2435.8,2462,2464.2,2455.23,1548119,38009.86,83872,1123041,72.54
TCS,EQ,25-Aug-14,2464.2,2470,2528.5,2466.9,2521.7,2522.05,2511.52,1571756,39474.96,50860,1117085,71.07
TCS,EQ,26-Aug-14,2522.05,2529,2550,2500,2528.45,2533.8,2534.69,907745,23008.52,49485,569931,62.79
TCS,EQ,27-Aug-14,2533.8,2534,2567.4,2514.05,2547.9,2549.95,2552.51,717730,18320.13,46881,424707,59.17
TCS,EQ,28-Aug-14,2549.95,2547,2549.3,2513,2516.7,2522.35,2528.6,883144,22331.22,40308,589093,66.7
TCS,EQ,1-Sep-14,2522.35,2525.4,2560,2523.05,2538.75,2537.15,2544.34,405074,10306.48,33608,258746,63.88
TCS,EQ,2-Sep-14,2537.15,2545.8,2554.8,2514.1,2542,2537.9,2541.45,703970,17891.05,37899,438610,62.31
TCS,EQ,3-Sep-14,2537.9,2539,2616,2539,2602.9,2606.4,2598.3,1530845,39775.9,72768,864675,56.48
